"glytoucan_ac","sequence_byonic"
"G00185NL","Hex(5)HexNAc(4)dHex(2) % 1932.70799036"
"G00186OS","Hex(6)HexNAc(4)dHex(1) % 1948.70290499"
"G00194GV","HexNAc(1)dHex(1) % 367.147846175"
"G00199JR","Hex(4)HexNAc(1) % 869.301231305"
"G00204EX","Hex(5)HexNAc(3) % 1437.51280002"
"G00207YQ","Hex(6)HexNAc(4) % 1802.64499612"
"G00211WY","Hex(6)HexNAc(4)dHex(1)NeuAc(1) % 2239.79832162"
"G00212ZT","Hex(7)HexNAc(1) % 1355.45970181"
"G00219DO","Hex(4)HexNAc(5)dHex(1) % 1827.6766306"
"G00219VH","HexNAc(2) % 424.16930991"
"G00221CZ","Hex(6)HexNAc(6) % 2208.80374133"
"G00222MO","Hex(3)HexNAc(5)dHex(2) % 1811.68171597"
"G00227RN","Hex(6)HexNAc(5)dHex(1)NeuAc(3) % 3025.0685275"
"G00229TF","Hex(2)HexNAc(2)dHex(1)aldi(1) % 896.34851585"
"G00229VQ","Hex(2)HexNAc(3)aldi(1) % 953.369979585"
"G00230CO","Hex(3)HexNAc(6)dHex(1)S(2) % 2028.61680888"
"G00230IL","Hex(3)HexNAc(3)dHex(4)aldi(1) % 1699.65443856"
"G00231IQ","Hex(5)HexNAc(5)dHex(1)NeuAc(1) % 2280.82487073"
"G00231WL","Hex(7)HexNAc(6)dHex(1)NeuAc(3)S(1) % 3470.15753819"
"G00232ED","Hex(4)HexNAc(5)NeuAc(1)S(1) % 2052.67095295"
"G00235HI","Hex(6)HexNAc(5)NeuAc(1) % 2296.81978536"
"G00247JV","Hex(9)HexNAc(2) % 1882.64472141"
"G00247PL","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G00249IY","Hex(5)HexNAc(4)dHex(2) % 1932.70799036"
"G00249XF","Hex(2)HexNAc(3)S(1) % 1031.31114411"
"G00249XR","Hex(5)HexNAc(5)dHex(2) % 2135.78736296"
"G00257UQ","Hex(2)HexNAc(2)dHex(1)NeuAc(2)S(1)aldi(1) % 1558.49616371"
"G00258QK","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G00272VU","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G00273SJ","Hex(5)HexNAc(4)dHex(4) % 2224.8238081"
"G00277SO","Hex(2)HexNAc(3)dHex(2) % 1243.47014726"
"G00279YF","Hex(3)HexNAc(6) % 1722.64527083"
"G00281HB","Hex(6)HexNAc(3) % 1599.56562351"
"G00284SJ","Hex(5)HexNAc(2) % 1234.43342741"
"G00287UD","Hex(3)HexNAc(5)aldi(1) % 1521.5815483"
"G00288QM","Hex(4)HexNAc(2) % 1072.38060391"
"G00288RP","Hex(3)HexNAc(2)dHex(2) % 1202.44359815"
"G00294BL","Hex(2)HexNAc(1)dHex(1)aldi(1) % 693.269143245"
"G00294TN","Hex(2)HexNAc(1)dHex(1) % 691.253493175"
"G00298HY","Hex(1)HexNAc(2) % 586.22213341"
"G00306VT","Hex(2)dHex(1) % 488.17412057"
"G00311MF","Hex(2)HexNAc(1) % 545.195584305"
"G00313OR","Hex(5)HexNAc(1)aldi(1) % 1033.36970488"
"G00318AV","Hex(5)HexNAc(4)dHex(1)NeuAc(2) % 2368.84091476"
"G00320ZP","Hex(5)HexNAc(4)NeuAc(3) % 2513.87842253"
"G00325UK","Hex(5)HexNAc(7)dHex(1)NeuAc(2) % 2978.07903257"
"G00328CG","Hex(5)HexNAc(4)NeuAc(3) % 2513.87842253"
"G00328HB","Hex(5)HexNAc(2) % 1234.43342741"
"G00331XG","Hex(7)HexNAc(5)dHex(1)aldi(1) % 2315.85075117"
"G00335DM","Hex(6)HexNAc(2) % 1396.48625091"
"G00335JE","Hex(2)HexNAc(2)NeuGc(1) % 1055.36528817"
"G00335TI","Hex(3)HexNAc(3) % 1113.40715301"
"G00336XG","Hex(5)HexNAc(3) % 1437.51280002"
"G00338CG","Hex(2)NeuGc(1)X(1) % 691.217107665"
"G00349CA","Hex(6)HexNAc(5) % 2005.72436873"
"G00361YF","Hex(3)HexNAc(6) % 1722.64527083"
"G00362UY","HexNAc(1)dHex(1) % 367.147846175"
"G00370EI","Hex(4)HexNAc(1)NeuAc(1) % 1160.39664794"
"G00371DJ","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G00376RB","Hex(3)HexNAc(3)dHex(3)aldi(1) % 1553.5965297"
"G00379PJ","Hex(2)HexNAc(2)NeuAc(1) % 1039.37037354"
"G00381YD","Hex(6)HexNAc(2)aldi(1) % 1398.50190098"
"G00383KP","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G00383YF","Hex(5)HexNAc(6) % 2046.75091783"
"G00390GQ","Hex(2)HexNAc(2)NeuAc(2) % 1330.46579018"
"G00394CR","Hex(4)HexNAc(2)dHex(2) % 1364.49642165"
"G00395FS","Hex(3) % 504.1690352"
"G00395TQ","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G00396DP","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G00396IE","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G00399LG","HexNAc(2) % 424.16930991"
"G00401IE","Hex(3) % 504.1690352"
"G00406II","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G00407UJ","Hex(3)HexNAc(1) % 707.248407805"
"G00413UF","Hex(6)HexNAc(5)NeuAc(2) % 2587.915202"
"G00420UH","Hex(4)HexNAc(7)NeuAc(1) % 2378.87288357"
"G00423TL","Hex(1)HexNAc(2)S(1) % 666.178948"
"G00428HK","Hex(4)HexNAc(2)dHex(2)aldi(1) % 1366.51207172"
"G00430ZK","Hex(3)HexNAc(3)dHex(1)NeuAc(2) % 1841.65589516"
"G00432WV","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G00433KW","Hex(7)HexNAc(2) % 1558.53907441"
"G00433UK","Hex(8)HexNAc(7)dHex(1)NeuAc(1)NeuGc(1) % 3480.23241771"
"G00435KX","Hex(2)HexNAc(1)dHex(1) % 691.253493175"
"G00438EF","Hex(9)HexNAc(5)dHex(1) % 2637.9407481"
"G00449DS","Hex(6)HexNAc(4)NeuAc(1) % 2093.74041275"
