"glytoucan_ac","sequence_byonic"
"G06407UW","Hex(6)HexNAc(6)NeuAc(1) % 2499.89915797"
"G06408QU","Hex(2)HexNAc(2)dHex(1)S(1) % 974.28968037"
"G06410KH","HexNAc(4) % 830.32805512"
"G06414UP","Hex(1)HexNAc(1)dHex(1) % 529.200669675"
"G06415PN","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G06419VB","Hex(1)HexNAc(2) % 586.22213341"
"G06422VO","Hex(6)HexNAc(5)dHex(1)NeuGc(3) % 3073.05327139"
"G06430FC","Hex(5)HexNAc(6) % 2046.75091783"
"G06432WK","Hex(3)HexNAc(6)dHex(2) % 2014.76108857"
"G06435EU","Hex(1)HexNAc(2) % 586.22213341"
"G06435TQ","Hex(1)HexNAc(3)aldi(1) % 791.317156085"
"G06437BU","Hex(9)HexNAc(6)dHex(5) % 3425.25175618"
"G06439PI","Hex(2)HexNAc(3)dHex(1)aldi(1) % 1099.42788845"
"G06442NS","Hex(4)HexNAc(2) % 1072.38060391"
"G06443CT","Hex(3)HexNAc(3)NeuAc(1) % 1404.50256965"
"G06444QV","Hex(1)HexNAc(1)dHex(1)NeuAc(1) % 820.29608631"
"G06444RU","Hex(10)HexNAc(10)dHex(1) % 3815.39043462"
"G06445CC","Hex(7)HexNAc(6)NeuAc(4) % 3535.23823137"
"G06446LG","Hex(3)HexNAc(7) % 1925.72464343"
"G06446VC","Hex(3)HexNAc(1)dHex(1)NeuAc(1) % 1144.40173331"
"G06448OR","Hex(4)HexNAc(5)dHex(2)aldi(1) % 1975.75018954"
"G06460LD","Hex(3)HexNAc(3) % 1113.40715301"
"G06461TM","Hex(1)HexNAc(1)S(1) % 463.099575395"
"G06467SV","Hex(3)HexNAc(4)dHex(1)aldi(1) % 1464.56008456"
"G06477TD","Hex(4)HexNAc(4)dHex(1)NeuGc(1) % 1931.68758926"
"G06480NC","Hex(6)HexNAc(4)NeuAc(1) % 2093.74041275"
"G06483KZ","Hex(1)HexNAc(2) % 586.22213341"
"G06494SN","Hex(4)HexNAc(1) % 869.301231305"
"G06501GU","Hex(6)HexNAc(5)NeuAc(2)aldi(1) % 2589.93085207"
"G06501OQ","Hex(1)HexNAc(1)dHex(1) % 529.200669675"
"G06507BB","Hex(2)HexNAc(2)dHex(2)S(1) % 1120.34758924"
"G06509PB","Hex(1)HexNAc(1) % 383.142760805"
"G06523WI","Hex(3)HexNAc(3)dHex(1)NeuAc(1) % 1550.56047852"
"G06525SB","Hex(3) % 504.1690352"
"G06528PI","Hex(6)HexNAc(1) % 1193.4068783"
"G06534PA","Hex(7)HexNAc(5)dHex(1)NeuAc(1) % 2604.93051773"
"G06534UH","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G06542JE","Hex(3)HexNAc(3) % 1113.40715301"
"G06548AJ","Hex(1)HexNAc(1)S(1) % 463.099575395"
"G06550JR","Hex(4)HexNAc(4)aldi(1) % 1480.55499919"
"G06552FO","Hex(4)HexNAc(6) % 1884.69809433"
"G06557IC","Hex(3)dHex(2) % 796.28485294"
"G06564PT","Hex(3)HexNAc(1) % 707.248407805"
"G06564PZ","Hex(2) % 342.1162117"
"G06566UK","Hex(1)HexNAc(2)NeuGc(1) % 893.312464675"
"G06568GE","Hex(1)HexNAc(1)dHex(1)X(1) % 543.216319745"
"G06572NO","Hex(2) % 342.1162117"
"G06578MY","Hex(4)HexNAc(7)dHex(1) % 2233.83537581"
"G06580KR","Hex(2)HexNAc(1) % 545.195584305"
"G06581HO","Hex(4)HexNAc(7)dHex(1) % 2233.83537581"
"G06583BF","Hex(2)HexNAc(2)S(1) % 828.2317715"
"G06583IY","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G06586DL","Hex(7)HexNAc(6) % 2370.85656483"
"G06594DV","Hex(7)HexNAc(6)NeuAc(2) % 2953.0473981"
"G06595MR","Hex(1)HexNAc(1)dHex(1) % 529.200669675"
"G06597DS","Hex(3)HexNAc(2)dHex(1)NeuAc(1) % 1347.48110591"
"G06598KJ","Hex(8)HexNAc(7)dHex(2) % 3028.10457868"
"G06601IE","Hex(1)HexNAc(2)S(1) % 666.178948"
"G06601SQ","Hex(4)HexNAc(4)dHex(1)NeuAc(1) % 1915.69267463"
"G06607JJ","Hex(6)HexNAc(5)NeuAc(2) % 2587.915202"
"G06616KY","Hex(3)HexNAc(2)dHex(2) % 1202.44359815"
"G06624ZC","Hex(1)HexNAc(2)S(1)aldi(1) % 668.19459807"
"G06635WE","Hex(5)HexNAc(6)dHex(1)NeuAc(3) % 3066.09507661"
"G06637ET","Hex(6)HexNAc(4)NeuAc(2) % 2384.83582939"
"G06642AP","Hex(7)HexNAc(5)dHex(1) % 2313.8351011"
"G06646VA","HexNAc(2)NeuAc(1) % 715.264726545"
"G06648CG","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G06650TB","Hex(4)HexNAc(3)aldi(1) % 1277.47562658"
"G06655AV","Hex(6) % 990.3275057"
"G06656BE","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G06658RN","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G06661NE","Hex(2)HexNAc(2)NeuAc(1) % 1039.37037354"
"G06662OV","Hex(2)HexNAc(3)dHex(1)aldi(1) % 1099.42788845"
"G06663AZ","Hex(4) % 666.2218587"
"G06673TD","Hex(3)HexNAc(6)S(2) % 1882.55890001"
"G06676BQ","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G06694XM","Hex(5)HexNAc(3)NeuAc(1) % 1728.60821665"
"G06696DE","Hex(4)HexNAc(5)NeuAc(1) % 1972.71413836"
"G06698DE","Hex(3) % 504.1690352"
"G06702EZ","Hex(4)HexNAc(4) % 1478.53934912"
"G06703UH","Hex(6)HexNAc(5)dHex(2)NeuAc(2) % 2880.03101973"
"G06704MH","Hex(6)HexNAc(5)dHex(2)NeuAc(3) % 3171.12643637"
"G06707ZH","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G06708ZY","Hex(2)HexNAc(1) % 545.195584305"
"G06710OE","Hex(2)HexNAc(3)dHex(2)aldi(1) % 1245.48579733"
"G06713PE","Hex(5)HexNAc(4)dHex(1)NeuAc(1)S(1) % 2157.70231272"
"G06714AG","Hex(4)HexNAc(5)NeuAc(2) % 2263.80955499"
"G06721LM","Hex(3)HexNAc(4) % 1316.48652562"
"G06726TJ","Hex(4)HexNAc(2) % 1072.38060391"
"G06728MM","Hex(5)HexNAc(8) % 2452.90966304"
"G06729UK","Hex(5)HexNAc(4)NeuAc(1) % 1931.68758926"
"G06730AH","Hex(6)HexNAc(5) % 2005.72436873"
"G06730ML","Hex(3)HexNAc(2) % 910.32778041"
"G06731AE","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G06735ZD","Hex(5)HexNAc(5) % 1843.67154523"
"G06741XC","Hex(5)HexNAc(6)dHex(2) % 2338.86673557"
"G06743VP","Hex(6)HexNAc(7) % 2411.88311393"
"G06748VG","Hex(2)HexNAc(1)aldi(1) % 547.211234375"
"G06754HE","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G06756XE","Hex(9)HexNAc(8) % 3101.12095704"
"G06767JY","Hex(6)HexNAc(1) % 1193.4068783"
"G06767OR","Hex(8)HexNAc(7)dHex(1)NeuAc(3)NeuGc(1) % 4062.42325098"
"G06768XI","Hex(12)HexNAc(2) % 2368.80319191"
"G06772YH","Hex(5)HexNAc(5) % 1843.67154523"
"G06777LB","Hex(5)HexNAc(4) % 1640.59217262"
"G06778YR","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G06786CI","Hex(2)HexNAc(4)dHex(1) % 1300.49161099"
"G06795XH","Hex(4)HexNAc(5)dHex(2) % 1973.73453947"
"G06799HZ","Hex(3)HexNAc(1) % 707.248407805"
"G06804FL","Hex(6)HexNAc(5)aldi(1) % 2007.7400188"
"G06809IG","Hex(7)HexNAc(7)dHex(1) % 2719.9938463"
"G06810UA","Hex(3) % 504.1690352"
"G06810ZN","Hex(3)HexNAc(4) % 1316.48652562"
"G06811VQ","Hex(2)HexNAc(1)NeuAc(1) % 836.29100094"
"G06816RN","Hex(4)HexNAc(4)dHex(1)S(1) % 1704.55407258"
"G06817XP","Hex(7)HexNAc(1) % 1355.45970181"
"G06818RT","Hex(8)HexNAc(7)dHex(1)NeuAc(3)NeuGc(1) % 4062.42325098"
"G06820QR","Hex(7)HexNAc(6)NeuAc(1)NeuGc(1) % 2969.04231273"
"G06829PV","Hex(1)P(1) % 260.029719125"
"G06830II","Hex(5)HexNAc(2) % 1234.43342741"
"G06830JN","Hex(5)HexNAc(4)dHex(3) % 2078.76589923"
"G06832QU","Hex(6)HexNAc(5)dHex(1)NeuAc(1) % 2442.87769423"
"G06833NJ","Hex(9)HexNAc(2) % 1882.64472141"
"G06837EQ","Hex(4)aldi(1) % 668.23750877"
"G06844RI","Hex(5)HexNAc(4)dHex(2)NeuAc(1)aldi(1) % 2225.81905706"
"G06850AE","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G06850UL","Hex(5)HexNAc(3)dHex(2) % 1729.62861776"
"G06851NM","Hex(3) % 504.1690352"
"G06851TU","Hex(2)HexNAc(2)NeuAc(1) % 1039.37037354"
"G06853GH","Hex(4)HexNAc(7)dHex(1) % 2233.83537581"
"G06859AF","Hex(1)HexNAc(1) % 383.142760805"
"G06862BZ","Hex(3)HexNAc(2)dHex(1)aldi(1) % 1058.40133935"
"G06864JC","Hex(3)HexNAc(3)NeuAc(1)aldi(1) % 1406.51821972"
"G06864XN","Hex(5)HexNAc(4)dHex(2)aldi(1) % 1934.72364043"
"G06873PC","Hex(3)dHex(1) % 650.22694407"
"G06874SI","Hex(5)HexNAc(4)dHex(2) % 1932.70799036"
"G06878CS","Hex(4)HexNAc(5)dHex(1)NeuAc(2) % 2409.86746387"
"G06880OV","Hex(4)HexNAc(3)aldi(1) % 1277.47562658"
"G06881DK","Hex(2)HexNAc(1) % 545.195584305"
"G06890KZ","Hex(7)HexNAc(5) % 2167.77719222"
"G06893QX","Hex(3)HexNAc(4) % 1316.48652562"
"G06895KO","Hex(3) % 504.1690352"
"G06895PM","Hex(3)HexNAc(7)dHex(1) % 2071.78255231"
"G06898ZN","Hex(2)HexNAc(1)HexA(1)S(1) % 801.184486955"
"G06900UR","Hex(5)HexNAc(4)NeuAc(2) % 2222.78300589"
"G06901BU","Hex(5)HexNAc(2)aldi(1) % 1236.44907748"
"G06906LK","Hex(8)HexNAc(3)dHex(1)NeuAc(1) % 2360.82459602"
"G06906MP","Hex(5)HexNAc(5)dHex(1)NeuAc(2) % 2571.92028737"
"G06910AO","Hex(1)HexNAc(2) % 586.22213341"
"G06910HM","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G06912LX","HexNAc(2)HexA(2) % 776.23348603"
"G06920GM","Hex(3)HexNAc(3) % 1113.40715301"
"G06921NN","Hex(5)HexNAc(5)dHex(3)NeuAc(1) % 2572.94068847"
"G06921UA","Hex(5)HexNAc(3) % 1437.51280002"
"G06927UM","Hex(4)HexNAc(5)dHex(1)S(1) % 1907.63344519"
"G06928XT","Hex(5)HexNAc(3) % 1437.51280002"
"G06930GL","Hex(7)HexNAc(6)dHex(2)NeuAc(4) % 3827.35404911"
"G06931TP","Hex(1)HexNAc(2) % 586.22213341"
"G06932DR","Hex(2)HexNAc(1)S(1) % 625.152398895"
"G06953DR","Hex(3)HexNAc(2)NeuAc(2) % 1492.51861368"
"G06961IX","Hex(5)HexNAc(4)dHex(2)NeuGc(2) % 2546.88865289"
"G06963BI","Hex(2)HexNAc(2)dHex(1)aldi(1) % 896.34851585"
"G06964XX","Hex(5)HexNAc(2) % 1234.43342741"
"G06965TR","Hex(3)HexNAc(2)dHex(1)NeuAc(1) % 1347.48110591"
"G06968OS","Hex(7)HexNAc(6)dHex(2) % 2662.97238257"
"G06969ZX","Hex(5)HexNAc(5) % 1843.67154523"
"G06971NQ","Hex(5)HexNAc(4)dHex(2)NeuAc(1) % 2223.80340699"
"G06971VR","Hex(4)HexNAc(2)NeuAc(3) % 1945.66685382"
"G06971WM","Hex(4)HexNAc(3)dHex(1) % 1421.51788538"
"G06979ME","Hex(2)HexNAc(1)dHex(1) % 691.253493175"
"G06981MP","Hex(5)HexNAc(4)NeuAc(2) % 2222.78300589"
"G06983UA","Hex(6)HexNAc(6)dHex(1)NeuAc(2) % 2937.05248347"
"G06989JN","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G06990FH","Hex(8)HexNAc(7)dHex(3)NeuAc(4) % 4338.54415409"
"G06990MN","Hex(2)HexNAc(3)NeuAc(1) % 1242.44974615"
"G06995WZ","Hex(1)HexNAc(1)NeuAc(1) % 674.23817744"
"G06996VN","Hex(3) % 504.1690352"
"G07001AU","Hex(3)HexNAc(7)dHex(1)aldi(1) % 2073.79820238"
"G07002SZ","Hex(4)HexNAc(4)S(1) % 1558.49616371"
"G07003AA","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G07008XD","Hex(8)HexNAc(5)dHex(1) % 2475.8879246"
"G07009NL","Hex(5)HexNAc(4)NeuAc(1) % 1931.68758926"
"G07014AW","Hex(7)HexNAc(2)aldi(1) % 1560.55472448"
"G07015TW","Hex(4)HexNAc(5)dHex(1)NeuAc(1) % 2118.77204723"
"G07020WN","Hex(4) % 666.2218587"
"G07021OQ","Hex(2)HexNAc(1) % 545.195584305"
"G07024LX","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G07024ZV","Hex(3)HexNAc(6) % 1722.64527083"
"G07025FE","Hex(2)HexNAc(2) % 748.27495691"
"G07025NR","Hex(1)HexNAc(2) % 586.22213341"
"G07041CT","Hex(5)HexNAc(5)dHex(3) % 2281.84527183"
"G07051YW","Hex(8)HexNAc(7)dHex(1)NeuAc(3) % 3755.33291971"
"G07059FD","Hex(3) % 504.1690352"
"G07061BV","Hex(3)HexNAc(3)NeuAc(1) % 1404.50256965"
"G07061YF","Hex(2)HexNAc(4)dHex(2) % 1446.54951986"
"G07064QI","Hex(4)HexNAc(1) % 869.301231305"
"G07067EP","Hex(7)HexNAc(2) % 1558.53907441"
"G07067JB","Hex(6)HexNAc(7)dHex(2) % 2703.99893168"
"G07068RQ","Hex(1)HexNAc(3)aldi(1) % 791.317156085"
"G07071RD","Hex(5)HexNAc(3)dHex(1)NeuAc(1) % 1874.66612552"
"G07075ND","Hex(5)HexNAc(4)dHex(1)NeuGc(1) % 2093.74041275"
"G07075ZE","Hex(4)HexNAc(2)dHex(2) % 1364.49642165"
"G07078LK","Hex(1)HexNAc(1)NeuAc(1)NeuGc(1) % 981.328508705"
"G07082VU","Hex(1)HexNAc(3)NeuAc(1) % 1080.39692265"
"G07083FT","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G07085NZ","Hex(12)HexNAc(1) % 2165.72381931"
"G07089VQ","Hex(6)HexNAc(5)dHex(3) % 2443.89809534"
"G07091AK","Hex(7)HexNAc(6)NeuAc(1) % 2661.95198146"
"G07097VH","Hex(5)HexNAc(4)dHex(1)NeuAc(2) % 2368.84091476"
"G07098TP","Hex(3)HexNAc(6)dHex(1)NeuAc(2) % 2450.89401297"
"G07102WY","Hex(2)HexNAc(2)dHex(1)NeuAc(2)aldi(1) % 1478.53934912"
"G07105MP","Hex(8)HexNAc(1) % 1517.51252531"
"G07106XG","Hex(7)HexNAc(6)dHex(1)NeuAc(1) % 2808.00989034"
"G07107DH","Hex(7)HexNAc(6)dHex(3) % 2809.03029144"
"G07112RY","Hex(4)HexNAc(2)dHex(2)NeuAc(1) % 1655.59183828"
"G07118ZR","Hex(10)HexNAc(2) % 2044.69754491"
"G07120NI","Hex(2)HexNAc(2)S(3)aldi(1) % 990.16105075"
"G07129LW","Hex(5)HexNAc(2) % 1234.43342741"
"G07131KY","Hex(1)HexNAc(2)NeuAc(1)S(1)aldi(1) % 959.290014705"
"G07133YY","Hex(2) % 342.1162117"
"G07136UD","Hex(2)aldi(1) % 344.13186177"
"G07136WT","Hex(4)HexNAc(2)dHex(1)NeuAc(1) % 1509.53392942"
"G07137NF","Hex(7)HexNAc(6)dHex(1)NeuAc(2) % 3099.10530697"
"G07140RV","Hex(6)HexNAc(6)dHex(2)NeuAc(3) % 3374.20580897"
"G07141SK","Hex(5)HexNAc(4)NeuAc(2)aldi(1) % 2224.79865596"
"G07142IU","Hex(5)HexNAc(6)dHex(1) % 2192.8088267"
"G07145VL","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G07146OH","Hex(5)HexNAc(2)aldi(1) % 1236.44907748"
"G07147QM","Hex(5)HexNAc(4)aldi(1) % 1642.60782269"
"G07148DK","Hex(6)HexNAc(6)dHex(3) % 2646.97746794"
"G07151FE","Hex(3)HexNAc(6)S(2) % 1882.55890001"
"G07152PN","Hex(7)HexNAc(2)aldi(1) % 1560.55472448"
"G07162IJ","Hex(6)HexNAc(5)dHex(2)NeuAc(1) % 2588.9356031"
"G07164WO","Hex(2)HexNAc(2)dHex(2)aldi(1) % 1042.40642472"
"G07166XN","Hex(7)HexNAc(7) % 2573.93593744"
"G07169PS","Hex(3)HexNAc(3) % 1113.40715301"
"G07169WN","Hex(1)S(1) % 260.02020279"
"G07174PY","Hex(1)dHex(1)HexN(1) % 487.190104975"
"G07176DR","Hex(3)HexNAc(5) % 1519.56589823"
"G07176IO","Hex(6)HexNAc(7)dHex(2) % 2703.99893168"
"G07176JO","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G07187JG","Hex(3)HexNAc(2)dHex(2) % 1202.44359815"
"G07191NE","Hex(3)HexNAc(3)NeuAc(2) % 1695.59798628"
"G07194UG","Hex(3)dHex(1) % 650.22694407"
"G07195XP","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G07198JW","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G07209EH","Hex(6)HexNAc(7)dHex(2)NeuAc(3) % 3577.28518158"
"G07209HW","Hex(3)HexNAc(4) % 1316.48652562"
"G07210YT","Hex(2)HexNAc(3)aldi(1) % 953.369979585"
"G07212JE","Hex(2)HexNAc(2)NeuAc(2)S(1) % 1410.42260477"
"G07215AE","Hex(3)HexNAc(6)S(2) % 1882.55890001"
"G07216RA","Hex(6)HexNAc(5)dHex(1)NeuAc(3)aldi(1) % 3027.08417757"
"G07218NO","Hex(6)HexNAc(3) % 1599.56562351"
"G07221CJ","Hex(4) % 666.2218587"
"G07226AQ","Hex(3) % 504.1690352"
"G07226DF","Hex(5)HexNAc(4)dHex(3) % 2078.76589923"
"G07226NI","Hex(2)HexNAc(3)dHex(1)NeuAc(1) % 1388.50765502"
"G07227QC","Hex(3)HexNAc(1) % 707.248407805"
"G07228BR","Hex(4)HexNAc(6) % 1884.69809433"
"G07232FJ","Hex(7)HexNAc(6)NeuAc(1) % 2661.95198146"
"G07233JN","Hex(6)HexNAc(5)dHex(1)NeuAc(3) % 3025.0685275"
"G07238DT","Hex(6)HexNAc(6)dHex(1)NeuAc(1) % 2645.95706684"
"G07238JI","Hex(7)HexNAc(7)dHex(1)NeuAc(2)S(2) % 3462.09830876"
"G07245OG","Hex(10)HexNAc(1) % 1841.61817231"
"G07246CJ","Hex(6)HexNAc(6)dHex(1) % 2354.8616502"
"G07248LS","Hex(6)HexNAc(4)dHex(1)NeuAc(2) % 2530.89373826"
"G07262RR","Hex(4)HexNAc(6)dHex(2) % 2176.81391207"
"G07265CE","Hex(6)HexNAc(5)dHex(1)NeuAc(3) % 3025.0685275"
"G07265MJ","Hex(1)HexNAc(1) % 383.142760805"
"G07280YM","Hex(6)HexNAc(6)dHex(2) % 2500.91955907"
"G07281UF","Hex(1)HexNAc(2)NeuAc(1) % 877.317550045"
"G07283NA","Hex(2) % 342.1162117"
"G07285FW","Hex(8)HexNAc(5)dHex(2) % 2621.94583346"
"G07286WG","Hex(2)HexNAc(2) % 748.27495691"
"G07288VN","Hex(3)HexNAc(1) % 707.248407805"
"G07292LK","Hex(4)HexNAc(9)dHex(1) % 2639.99412102"
"G07293JT","Hex(1)HexNAc(2)NeuAc(2) % 1168.41296668"
"G07300VB","Hex(3)HexN(1) % 665.237843105"
"G07301IS","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G07313GR","Hex(7)HexNAc(5)dHex(1) % 2313.8351011"
"G07322RE","Hex(4)HexNAc(5)dHex(1)NeuAc(2) % 2409.86746387"
"G07322TJ","Hex(3)HexNAc(1)dHex(1) % 853.306316675"
"G07323GB","Hex(9)HexNAc(2) % 1882.64472141"
"G07323UU","Hex(4)HexNAc(4)NeuAc(1) % 1769.63476576"
"G07325XB","Hex(3) % 504.1690352"
"G07326IT","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G07328EF","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G07328FD","Hex(5)HexNAc(4)dHex(2)NeuAc(2) % 2514.89882363"
"G07330MB","HexNAc(2)NeuAc(1)S(1) % 795.221541135"
"G07337US","Hex(5)HexNAc(4)dHex(2)NeuAc(2) % 2514.89882363"
"G07348OG","Hex(3) % 504.1690352"
"G07352BK","Hex(8)HexNAc(7)aldi(1) % 2738.004411"
"G07353BE","Hex(6)HexNAc(7) % 2411.88311393"
"G07353CJ","Hex(5)HexNAc(4)NeuGc(3) % 2561.86316642"
"G07357YR","Hex(2)HexNAc(2)dHex(2) % 1040.39077465"
"G07360NF","Hex(1)HexNAc(3) % 789.301506015"
"G07360YN","Hex(3)HexNAc(1)NeuAc(4) % 1871.63007435"
"G07363AF","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G07368IA","Hex(7)HexNAc(5) % 2167.77719222"
"G07369RY","Hex(5)HexNAc(3) % 1437.51280002"
"G07372WA","Hex(3)HexNAc(2)NeuAc(1) % 1201.42319704"
"G07375KG","HexNAc(2) % 424.16930991"
"G07376BS","Hex(6)HexNAc(5)NeuAc(2)aldi(1) % 2589.93085207"
"G07380MP","Hex(3)HexNAc(6) % 1722.64527083"
"G07380TS","Hex(5)HexNAc(5) % 1843.67154523"
"G07390DJ","Hex(8)HexNAc(7)NeuAc(4) % 3900.37042748"
"G07392QY","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G07393CN","Hex(2)HexNAc(2)dHex(2)NeuAc(1) % 1331.48619128"
"G07394RV","Hex(2)HexNAc(1)NeuAc(2) % 1127.38641757"
"G07395MI","Hex(1)HexNAc(3) % 789.301506015"
"G07397MN","Hex(1)HexNAc(2) % 586.22213341"
"G07400OG","Hex(5)HexNAc(3)dHex(1) % 1583.57070888"
"G07410AW","Hex(7)HexNAc(6)dHex(1) % 2516.9144737"
"G07414XZ","Hex(6)HexNAc(2) % 1396.48625091"
"G07417WF","Hex(10)HexNAc(1) % 1841.61817231"
"G07429FY","Hex(5)HexNAc(5)dHex(2)aldi(1) % 2137.80301303"
"G07430HH","Hex(3)HexNAc(2) % 910.32778041"
"G07435LO","Hex(2)HexNAc(3)dHex(1) % 1097.41223838"
"G07438VB","Hex(2)dHex(1) % 488.17412057"
"G07443RM","Hex(3)HexNAc(4)dHex(2) % 1608.60234336"
"G07445YJ","Hex(5)HexNAc(2) % 1234.43342741"
"G07450OC","Hex(2)HexNAc(3) % 951.354329515"
"G07451AO","Hex(6)HexNAc(4)dHex(1)NeuAc(1) % 2239.79832162"
"G07452NH","Hex(2)HexNAc(1)dHex(2) % 837.311402045"
"G07462LM","Hex(6)HexNAc(5)NeuAc(1)NeuGc(1) % 2603.91011663"
"G07467EB","Hex(4)HexNAc(2)dHex(2)NeuAc(1) % 1655.59183828"
"G07476BB","Hex(3) % 504.1690352"
"G07479EG","Hex(2)HexNAc(2)dHex(1)NeuAc(1)S(1) % 1265.38509701"
"G07479WV","Hex(5)HexNAc(8)dHex(1) % 2598.96757191"
"G07480GS","dHex(1) % 164.06847357"
"G07480TU","Hex(2)HexNAc(2)NeuAc(1)aldi(1) % 1041.38602361"
"G07483YN","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G07489GQ","Hex(6)HexNAc(4)dHex(1) % 1948.70290499"
"G07489IL","HexNAc(1)NeuAc(1) % 512.18535394"
"G07490EK","Hex(2) % 342.1162117"
"G07491LJ","Hex(9)HexNAc(1) % 1679.5653488"
"G07492HB","Hex(3)HexNAc(1)HexA(1) % 883.280495865"
"G07493GF","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G07502OB","Hex(4)HexNAc(4)dHex(1) % 1624.59725799"
"G07505DF","Hex(7)HexNAc(2) % 1558.53907441"
"G07507PB","HexNAc(1)HexA(1)S(1) % 477.078839955"
"G07508AC","Hex(2)HexNAc(2)dHex(2)S(1)aldi(1) % 1122.36323931"
"G07508HQ","Hex(5)HexNAc(4)dHex(2)NeuGc(2) % 2546.88865289"
"G07517TD","Hex(5)HexNAc(3)dHex(3)NeuAc(1) % 2166.78194326"
"G07522BW","Hex(4)HexNAc(5)dHex(1) % 1827.6766306"
"G07523TQ","Hex(6) % 990.3275057"
"G07527DV","Hex(2)HexNAc(2)dHex(1)NeuAc(2)aldi(1) % 1478.53934912"
"G07528DS","Hex(7)HexNAc(6)dHex(5)aldi(1) % 3103.16175925"
"G07529HV","Hex(11)HexNAc(10) % 3831.38534925"
"G07532UC","Hex(1)HexNAc(2) % 586.22213341"
"G07532ZA","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G07533UM","Hex(3) % 504.1690352"
"G07538NX","Hex(4)dHex(2) % 958.33767644"
"G07539OP","HexNAc(1)NeuAc(1) % 512.18535394"
"G07543GD","Hex(2)HexNAc(2)dHex(1)S(1)aldi(1) % 976.30533044"
"G07547GE","HexNAc(4) % 830.32805512"
"G07549SR","Hex(4)HexNAc(6)dHex(1) % 2030.7560032"
"G07550TX","Hex(3)HexNAc(6)dHex(2) % 2014.76108857"
"G07555OL","Hex(5)HexNAc(4)NeuAc(3) % 2513.87842253"
"G07558YH","Hex(4)HexNAc(3)dHex(1)NeuAc(1)S(1) % 1792.57011661"
"G07564NA","Hex(5)HexNAc(3)dHex(1) % 1583.57070888"
"G07568IR","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G07569NS","Hex(9)HexNAc(2) % 1882.64472141"
"G07570WQ","Hex(3)HexNAc(4)dHex(1) % 1462.54443449"
"G07574QU","Hex(7)HexNAc(6)dHex(1)NeuAc(1) % 2808.00989034"
"G07575HR","Hex(2)HexNAc(3) % 951.354329515"
"G07578MJ","Hex(3)HexNAc(3)dHex(3) % 1551.58087963"
"G07582KM","HexNAc(2)HexA(2)S(2) % 936.14711521"
"G07584HV","Hex(3)HexNAc(1)dHex(3) % 1145.42213441"
"G07589QZ","Hex(5)HexNAc(6)dHex(1)aldi(1) % 2194.82447677"
"G07591NV","Hex(7)HexNAc(7)dHex(1)NeuAc(1)S(3) % 3250.95970671"
"G07593CW","Hex(6)HexNAc(4) % 1802.64499612"
"G07595HH","Hex(3)HexNAc(3) % 1113.40715301"
"G07604MU","Hex(9)HexNAc(2) % 1882.64472141"
"G07610JY","Hex(3)HexNAc(3) % 1113.40715301"
"G07613EQ","Hex(3) % 504.1690352"
"G07617FP","Hex(5)HexNAc(2) % 1234.43342741"
"G07619BL","Hex(2)HexNAc(1) % 545.195584305"
"G07622PC","Hex(3)HexNAc(1)dHex(1)NeuAc(1) % 1144.40173331"
"G07625WI","Hex(5)HexNAc(4)dHex(1)aldi(1) % 1788.66573156"
"G07626IW","Hex(3)HexNAc(2)dHex(1) % 1056.38568928"
"G07626WD","Hex(8)HexNAc(2) % 1720.59189791"
"G07627PO","Hex(5)HexNAc(4) % 1640.59217262"
"G07639BG","Hex(5)HexNAc(6)dHex(1)NeuAc(3) % 3066.09507661"
